time,ship,lat,lon,airT,sst,wind,rh,SHF_mean,SHF_std,n_valid
2011-06-13T00:01:00Z,KAOU,20.6337,120.8500,28.68,24.10,1.70,0.877,-0.65,0.25,20
2011-06-13T00:02:00Z,KAOU,20.6337,120.8500,28.67,24.11,1.90,0.873,-1.06,0.52,20
2011-06-13T00:03:00Z,KAOU,20.6337,120.8500,28.68,24.11,1.90,0.871,-0.88,0.38,20
2011-06-13T00:04:00Z,KAOU,20.6337,120.8500,28.70,24.11,1.90,0.867,-0.71,0.21,20
2011-06-13T00:05:00Z,KAOU,20.6338,120.8500,28.68,24.11,1.80,0.868,-0.74,0.28,20
2011-06-13T00:06:00Z,KAOU,20.6337,120.8500,28.70,24.12,1.80,0.871,-0.79,0.31,20
2011-06-13T00:07:00Z,KAOU,20.6337,120.8500,28.69,24.12,1.80,0.872,-0.69,0.34,20
2011-06-13T00:08:00Z,KAOU,20.6337,120.8500,28.69,24.12,1.90,0.874,-0.80,0.29,20
2011-06-13T00:09:00Z,KAOU,20.6338,120.8500,28.69,24.12,1.60,0.875,-0.70,0.33,20
2011-06-13T00:10:00Z,KAOU,20.6338,120.8500,28.63,24.13,1.70,0.863,-0.62,0.32,20
2011-06-13T00:11:00Z,KAOU,20.6337,120.8500,28.69,24.13,1.80,0.859,-0.74,0.23,20
2011-06-13T00:12:00Z,KAOU,20.6337,120.8500,28.73,24.13,1.60,0.863,-0.48,0.21,20
2011-06-13T00:14:00Z,KAOU,20.6337,120.8500,28.74,24.14,1.60,0.858,-0.72,0.32,20
2011-06-13T00:15:00Z,KAOU,20.6337,120.8500,28.70,24.14,1.90,0.860,-0.93,0.44,20
2011-06-13T00:13:00Z,KAOU,20.6337,120.8500,28.73,24.13,1.50,0.861,-0.43,0.26,20
2011-06-13T00:16:00Z,KAOU,20.6337,120.8500,28.71,24.14,1.80,0.864,-0.69,0.29,20
2011-06-13T00:18:00Z,KAOU,20.6337,120.8500,28.67,24.14,1.70,0.858,-0.65,0.36,20
2011-06-13T00:17:00Z,KAOU,20.6337,120.8500,28.70,24.14,1.60,0.862,-0.48,0.28,20
2011-06-13T00:19:00Z,KAOU,20.6337,120.8500,28.74,24.15,1.70,0.856,-0.85,0.40,20
2011-06-13T00:21:00Z,KAOU,20.6337,120.8500,28.73,24.15,1.60,0.853,-0.52,0.23,20
2011-06-13T00:20:00Z,KAOU,20.6338,120.8500,28.72,24.15,1.70,0.857,-0.66,0.36,20
2011-06-13T00:22:00Z,KAOU,20.6337,120.8500,28.73,24.15,1.70,0.856,-0.77,0.46,20
2011-06-13T00:24:00Z,KAOU,20.6337,120.8500,28.71,24.16,1.80,0.863,-0.67,0.36,20
2011-06-13T00:23:00Z,KAOU,20.6337,120.8500,28.73,24.16,1.50,0.859,-0.42,0.31,20
2011-06-13T00:25:00Z,KAOU,20.6337,120.8500,28.70,24.16,1.70,0.867,-0.69,0.39,20
2011-06-13T00:27:00Z,KAOU,20.6338,120.8500,28.74,24.17,1.70,0.871,-0.64,0.34,20
2011-06-13T00:28:00Z,KAOU,20.6337,120.8500,28.71,24.17,1.80,0.871,-0.80,0.41,20
2011-06-13T00:26:00Z,KAOU,20.6337,120.8500,28.72,24.16,1.30,0.872,-0.23,0.17,20
2011-06-13T00:29:00Z,KAOU,20.6338,120.8500,28.74,24.17,1.50,0.868,-0.45,0.40,20
2011-06-13T00:31:00Z,KAOU,20.6337,120.8500,28.76,24.18,1.60,0.866,-0.54,0.26,20
2011-06-13T00:30:00Z,KAOU,20.6337,120.8500,28.76,24.17,1.40,0.863,-0.28,0.15,20
2011-06-13T00:32:00Z,KAOU,20.6337,120.8500,28.72,24.18,1.40,0.858,-0.36,0.28,20
2011-06-13T00:33:00Z,KAOU,20.6337,120.8500,28.72,24.18,1.20,0.853,-0.20,0.12,20
2011-06-13T00:34:00Z,KAOU,20.6338,120.8500,28.76,24.18,0.90,0.851,-0.08,0.07,20
2011-06-13T00:35:00Z,KAOU,20.6337,120.8500,28.78,24.19,1.00,0.855,-0.14,0.12,20
2011-06-13T00:36:00Z,KAOU,20.6337,120.8500,28.79,24.19,1.30,0.856,-0.20,0.09,20
2011-06-13T00:37:00Z,KAOU,20.6337,120.8500,28.80,24.19,1.40,0.854,-0.37,0.27,20
2011-06-13T00:38:00Z,KAOU,20.6337,120.8500,28.77,24.19,1.40,0.860,-0.40,0.21,20
2011-06-13T00:39:00Z,KAOU,20.6337,120.8500,28.81,24.20,1.40,0.864,-0.46,0.26,20
2011-06-13T00:40:00Z,KAOU,20.6337,120.8500,28.86,24.20,1.40,0.875,-0.34,0.26,20
2011-06-13T00:41:00Z,KAOU,20.6337,120.8500,28.91,24.20,1.50,0.877,-0.42,0.24,20
2011-06-13T00:42:00Z,KAOU,20.6338,120.8500,28.98,24.20,1.20,0.882,-0.23,0.14,20
2011-06-13T00:43:00Z,KAOU,20.6337,120.8500,29.07,24.21,1.10,0.888,-0.13,0.10,20
2011-06-13T00:44:00Z,KAOU,20.6337,120.8500,29.03,24.21,1.00,0.887,-0.10,0.10,20
2011-06-13T00:45:00Z,KAOU,20.6337,120.8500,29.08,24.21,1.20,0.889,-0.29,0.22,20
2011-06-13T00:46:00Z,KAOU,20.6337,120.8500,29.09,24.22,1.30,0.891,-0.36,0.23,20
2011-06-13T00:47:00Z,KAOU,20.6337,120.8500,29.02,24.22,1.40,0.888,-0.37,0.25,20
2011-06-13T00:48:00Z,KAOU,20.6337,120.8500,28.99,24.22,1.30,0.887,-0.25,0.14,20
2011-06-13T00:49:00Z,KAOU,20.6337,120.8500,28.97,24.22,1.10,0.882,-0.18,0.14,20
2011-06-13T00:50:00Z,KAOU,20.6337,120.8500,28.98,24.22,0.90,0.876,-0.18,0.16,20
2011-06-13T00:51:00Z,KAOU,20.6337,120.8500,29.03,24.23,0.90,0.879,-0.07,0.06,20
2011-06-13T00:52:00Z,KAOU,20.6337,120.8500,29.13,24.23,0.80,0.883,-0.11,0.12,20
2011-06-13T00:53:00Z,KAOU,20.6337,120.8500,29.18,24.23,1.10,0.888,-0.20,0.16,20
2011-06-13T00:54:00Z,KAOU,20.6337,120.8500,29.20,24.23,1.20,0.886,-0.25,0.14,20
2011-06-13T00:55:00Z,KAOU,20.6337,120.8500,29.21,24.23,1.30,0.887,-0.15,0.09,20
2011-06-13T00:56:00Z,KAOU,20.6337,120.8500,29.15,24.23,1.50,0.884,-0.43,0.28,20
